V_I,ID,Mode,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
3.462,OGLE-BLG-CEP-001,F,17.570842,-27.39825,-99.99,BLG333.8.30568,BLG611.14.36983,-99.99,17.398,20.86,2.5975765,2.1e-06,2460000.1452,0.51,0.505,4.467,0.298,2.781,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.855,OGLE-BLG-CEP-002,F,17.632956,-22.503361,-99.99,BLG336.2.114493,BLG625.32.78667,-99.99,15.735,17.59,2.0255702,7e-07,2460000.8533,0.731,0.525,4.237,0.353,2.406,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.698,OGLE-BLG-CEP-003,F1,17.745497,-23.723639,-99.99,BLG344.2.150516,BLG632.13.133301,-99.99,16.412,18.11,1.2357287,3.6e-06,2460000.9076,0.041,0.0,-99.99,0.0,-99.99,0.9052981,5e-07,2460000.7708,0.185,0.196,3.962,0.061,1.66,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,= OGLE-BLG-RRLYR-01929
1.582,OGLE-BLG-CEP-004,12,17.763842,-33.768778,-99.99,BLG138.1.170393,BLG603.29.45415,-99.99,16.18,17.762,0.2400461,2e-07,2460000.021,0.11,0.116,4.148,0.027,2.06,0.1902528,3e-07,2460000.1849,0.014,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,= OGLE-BLG-RRLYR-02251
2.301,OGLE-BLG-CEP-005,F,17.818625,-23.121861,-99.99,BLG343.2.121449,-99.99,-99.99,15.374,17.675,3.7955932,1.57e-05,2460000.6915,0.409,0.443,4.753,0.212,3.242,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.141,OGLE-BLG-CEP-007,F,17.831122,-22.824833,-99.99,BLG343.4.98754,BLG638.22.94017,-99.99,16.417,18.558,1.5455082,7e-07,2460000.278,0.586,0.473,4.184,0.292,2.157,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.48,OGLE-BLG-CEP-009,12,17.860561,-33.35575,BUL_SC40_534536,BLG140.4.117979,BLG502.21.105666,-99.99,16.019,17.499,0.2725673,2e-07,2460000.1128,0.101,0.107,4.127,0.0,-99.99,0.2167217,3e-07,2460000.092,0.026,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,= OGLE-BLG-RRLYR-04864
1.838,OGLE-BLG-CEP-015,1,17.919339,-31.402306,-99.99,BLG172.8.193067,BLG507.24.175530,-99.99,15.885,17.723,0.529967,3e-07,2460000.4493,0.163,0.128,3.662,0.036,0.846,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.36,OGLE-BLG-CEP-016,123,17.920989,-30.993111,-99.99,BLG172.5.175943,BLG506.07.110304,-99.99,14.002,15.362,0.2954563,3e-07,2460000.1903,0.12,0.124,4.013,0.018,1.53,0.2339694,3e-07,2460000.1182,0.01,0.0,-99.99,0.0,-99.99,0.1950675,3e-07,2460000.0566,0.016,0.0,-99.99,0.0,-99.99,
-99.99,OGLE-BLG-CEP-018,F,17.944081,-30.141667,-99.99,BLG103.2.128592,-99.99,-99.99,19.537,-99.99,2.8467837,7.13e-05,2460001.32,0.351,0.599,4.163,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
